age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
50.0,admin.,married,primary,no,276.0,no,yes,unknown,17.0,jun,641.0,,-1.0,0.0,unknown,no
38.0,services,divorced,secondary,no,,yes,no,unknown,17.0,jun,,2.0,,0.0,unknown,no
37.0,management,single,tertiary,yes,-25.0,no,no,unknown,17.0,jun,136.0,2.0,-1.0,0.0,unknown,no
57.0,housemaid,,primary,no,0.0,no,no,unknown,17.0,jun,187.0,2.0,-1.0,0.0,unknown,no
43.0,management,married,secondary,no,392.0,no,no,unknown,17.0,jun,332.0,5.0,-1.0,0.0,unknown,no
39.0,entrepreneur,married,secondary,no,156.0,no,yes,unknown,17.0,,76.0,,-1.0,0.0,unknown,no
37.0,admin.,divorced,secondary,,,no,no,unknown,17.0,jun,406.0,3.0,-1.0,0.0,unknown,no
38.0,admin.,divorced,,no,156.0,yes,no,unknown,17.0,jun,544.0,3.0,-1.0,0.0,unknown,no
36.0,blue-collar,single,tertiary,no,3649.0,yes,no,unknown,17.0,jun,756.0,2.0,-1.0,0.0,,no
38.0,services,single,unknown,,1610.0,yes,no,unknown,17.0,jun,76.0,,-1.0,0.0,unknown,no
50.0,services,married,secondary,no,1321.0,no,no,unknown,17.0,jun,271.0,2.0,-1.0,0.0,unknown,no
53.0,retired,married,primary,no,232.0,yes,,unknown,17.0,jun,,2.0,-1.0,0.0,unknown,no
50.0,management,single,tertiary,no,267.0,no,no,unknown,,jun,338.0,2.0,-1.0,0.0,unknown,no
53.0,technician,married,,no,619.0,no,no,unknown,17.0,jun,198.0,6.0,-1.0,0.0,unknown,no
46.0,blue-collar,divorced,primary,,358.0,no,no,unknown,17.0,jun,259.0,2.0,-1.0,,unknown,no
36.0,management,,tertiary,,171.0,no,no,unknown,17.0,jun,398.0,4.0,-1.0,0.0,unknown,no
55.0,management,married,tertiary,no,913.0,no,no,unknown,17.0,jun,462.0,5.0,-1.0,0.0,unknown,no
,entrepreneur,divorced,unknown,no,0.0,no,no,unknown,17.0,jun,956.0,2.0,,0.0,unknown,no
58.0,housemaid,married,,no,3957.0,no,no,unknown,17.0,jun,76.0,4.0,-1.0,0.0,,no
,blue-collar,married,primary,no,1551.0,no,no,unknown,17.0,jun,264.0,16.0,-1.0,,unknown,no
,entrepreneur,,secondary,no,197.0,no,no,unknown,17.0,jun,979.0,9.0,-1.0,0.0,unknown,no
43.0,housemaid,married,secondary,no,618.0,no,no,unknown,17.0,jun,89.0,,-1.0,0.0,unknown,no
39.0,blue-collar,married,primary,no,-119.0,,no,unknown,,jun,135.0,6.0,-1.0,0.0,unknown,no
52.0,technician,married,secondary,no,,no,yes,unknown,17.0,jun,420.0,4.0,-1.0,0.0,unknown,no
,blue-collar,married,primary,no,288.0,no,no,,17.0,jun,548.0,3.0,,0.0,unknown,no
36.0,,married,secondary,no,1409.0,no,no,unknown,17.0,jun,235.0,2.0,-1.0,0.0,unknown,no
52.0,technician,married,secondary,no,,no,no,unknown,17.0,jun,87.0,2.0,-1.0,0.0,unknown,no
43.0,,married,secondary,no,236.0,no,no,unknown,17.0,jun,169.0,4.0,-1.0,0.0,unknown,no
53.0,housemaid,divorced,secondary,no,120.0,no,no,,17.0,,343.0,2.0,-1.0,0.0,unknown,no
50.0,services,divorced,tertiary,no,580.0,no,no,unknown,17.0,jun,88.0,2.0,-1.0,0.0,unknown,no
25.0,technician,single,secondary,no,1116.0,,yes,unknown,17.0,jun,68.0,6.0,-1.0,0.0,unknown,no
36.0,services,single,secondary,no,398.0,yes,,unknown,17.0,jun,77.0,2.0,-1.0,0.0,unknown,no
35.0,blue-collar,,secondary,no,331.0,,no,unknown,17.0,jun,116.0,3.0,-1.0,,unknown,no
51.0,blue-collar,married,primary,no,3942.0,yes,no,unknown,17.0,jun,363.0,3.0,-1.0,0.0,unknown,no
38.0,blue-collar,married,primary,no,7944.0,no,,unknown,17.0,jun,116.0,3.0,-1.0,0.0,unknown,no
54.0,services,,secondary,no,468.0,no,no,unknown,17.0,jun,207.0,3.0,-1.0,,unknown,no
45.0,management,married,tertiary,no,,no,no,unknown,17.0,jun,311.0,2.0,-1.0,0.0,unknown,no
36.0,blue-collar,married,secondary,yes,0.0,no,yes,unknown,17.0,jun,138.0,5.0,-1.0,0.0,unknown,no
36.0,services,married,secondary,no,1981.0,no,no,unknown,,jun,48.0,2.0,-1.0,0.0,unknown,no
26.0,management,single,primary,no,71.0,no,no,unknown,17.0,jun,,2.0,-1.0,0.0,,no
51.0,self-employed,married,primary,,307.0,,yes,unknown,17.0,jun,65.0,2.0,-1.0,0.0,unknown,no
52.0,management,,tertiary,,502.0,no,no,unknown,17.0,jun,637.0,3.0,-1.0,0.0,,no
46.0,management,divorced,tertiary,no,25.0,,no,unknown,17.0,jun,564.0,2.0,-1.0,0.0,unknown,no
58.0,housemaid,divorced,primary,no,57.0,no,no,unknown,17.0,jun,117.0,3.0,-1.0,0.0,,no
45.0,unknown,married,,no,1979.0,no,no,unknown,17.0,jun,76.0,3.0,-1.0,0.0,unknown,no
27.0,,single,secondary,no,,yes,no,unknown,17.0,jun,128.0,21.0,-1.0,,,no
57.0,blue-collar,married,primary,no,4073.0,no,no,unknown,17.0,jun,193.0,3.0,-1.0,0.0,unknown,no
42.0,blue-collar,married,primary,,46.0,yes,no,unknown,17.0,jun,130.0,6.0,-1.0,,unknown,no
29.0,,single,secondary,yes,-95.0,yes,,unknown,17.0,jun,269.0,3.0,-1.0,0.0,unknown,no
52.0,management,married,tertiary,no,,no,yes,unknown,17.0,,291.0,2.0,-1.0,0.0,unknown,no
37.0,technician,divorced,secondary,no,,no,no,unknown,17.0,jun,150.0,7.0,-1.0,0.0,unknown,no
,management,married,tertiary,no,734.0,yes,no,unknown,17.0,jun,1208.0,3.0,-1.0,0.0,unknown,no
,admin.,married,secondary,no,10465.0,no,no,unknown,17.0,jun,144.0,6.0,-1.0,0.0,unknown,no
36.0,blue-collar,married,secondary,no,2357.0,yes,no,unknown,17.0,jun,228.0,2.0,-1.0,0.0,unknown,no
24.0,technician,single,secondary,no,2355.0,yes,no,unknown,17.0,jun,158.0,3.0,-1.0,0.0,unknown,no
35.0,services,married,tertiary,no,1359.0,no,no,unknown,17.0,jun,585.0,2.0,-1.0,0.0,unknown,no
39.0,management,divorced,secondary,no,51.0,,no,unknown,17.0,,334.0,2.0,-1.0,0.0,unknown,no
35.0,services,married,unknown,no,0.0,no,no,unknown,17.0,,229.0,7.0,,,unknown,no
46.0,retired,divorced,secondary,no,865.0,no,no,unknown,17.0,jun,,11.0,-1.0,0.0,unknown,no
57.0,entrepreneur,divorced,tertiary,no,873.0,no,no,unknown,17.0,jun,441.0,3.0,-1.0,,unknown,no
36.0,blue-collar,single,secondary,no,2596.0,no,no,unknown,18.0,jun,60.0,6.0,-1.0,0.0,unknown,no
49.0,technician,married,secondary,no,662.0,no,no,,18.0,jun,,2.0,-1.0,0.0,unknown,no
57.0,retired,divorced,tertiary,no,5253.0,no,no,unknown,18.0,jun,235.0,3.0,-1.0,0.0,unknown,no
36.0,services,single,secondary,no,9231.0,no,no,,18.0,jun,270.0,3.0,-1.0,0.0,unknown,no
44.0,blue-collar,married,primary,no,0.0,no,no,unknown,18.0,jun,,5.0,-1.0,0.0,unknown,no
44.0,blue-collar,married,secondary,no,0.0,no,no,unknown,18.0,jun,26.0,7.0,-1.0,0.0,unknown,no
52.0,retired,married,secondary,no,424.0,no,no,unknown,18.0,jun,89.0,3.0,-1.0,0.0,unknown,no
38.0,management,single,tertiary,no,0.0,,no,unknown,18.0,jun,61.0,7.0,-1.0,0.0,unknown,no
48.0,blue-collar,married,primary,no,551.0,yes,yes,unknown,18.0,jun,386.0,5.0,-1.0,0.0,unknown,no
51.0,technician,married,secondary,no,1123.0,no,no,unknown,18.0,jun,,4.0,-1.0,0.0,unknown,no
49.0,housemaid,,primary,no,434.0,yes,yes,unknown,18.0,jun,272.0,3.0,-1.0,0.0,unknown,no
46.0,blue-collar,married,primary,no,,no,no,unknown,18.0,jun,35.0,3.0,-1.0,,unknown,no
40.0,,married,secondary,no,265.0,no,no,,18.0,jun,1365.0,4.0,-1.0,0.0,unknown,no
40.0,,single,secondary,no,1200.0,yes,no,unknown,18.0,jun,284.0,8.0,-1.0,0.0,unknown,no
50.0,services,married,secondary,no,1134.0,no,no,unknown,,jun,53.0,2.0,-1.0,0.0,unknown,no
39.0,management,divorced,tertiary,no,26.0,no,no,unknown,18.0,jun,311.0,,-1.0,0.0,unknown,no
48.0,admin.,single,,no,1253.0,yes,no,unknown,18.0,jun,245.0,2.0,-1.0,0.0,unknown,no
46.0,unknown,single,primary,no,10.0,no,no,unknown,18.0,jun,64.0,6.0,-1.0,0.0,unknown,no
45.0,admin.,married,secondary,no,231.0,yes,,unknown,18.0,jun,,3.0,-1.0,0.0,unknown,no
46.0,blue-collar,married,primary,no,557.0,no,no,unknown,18.0,jun,89.0,1.0,-1.0,0.0,unknown,no
37.0,,married,secondary,no,1736.0,no,yes,,18.0,jun,66.0,1.0,-1.0,0.0,unknown,no
40.0,,,secondary,no,,no,no,unknown,18.0,jun,30.0,1.0,-1.0,0.0,unknown,no
55.0,,married,secondary,no,31.0,no,no,unknown,18.0,jun,72.0,1.0,-1.0,0.0,unknown,no
42.0,entrepreneur,divorced,secondary,no,31.0,no,no,unknown,18.0,jun,120.0,1.0,-1.0,0.0,unknown,no
28.0,blue-collar,married,secondary,no,-493.0,yes,no,unknown,18.0,jun,,4.0,,0.0,unknown,no
45.0,blue-collar,married,secondary,no,,,no,unknown,18.0,jun,48.0,1.0,-1.0,0.0,unknown,no
29.0,housemaid,married,secondary,no,,yes,no,unknown,18.0,jun,262.0,9.0,-1.0,0.0,unknown,no
52.0,,,secondary,,262.0,no,,unknown,,jun,1062.0,4.0,-1.0,0.0,unknown,no
37.0,services,single,secondary,,2657.0,yes,no,unknown,18.0,jun,295.0,1.0,,0.0,unknown,no
37.0,blue-collar,single,secondary,no,415.0,no,no,unknown,18.0,jun,203.0,1.0,-1.0,0.0,,no
28.0,management,,tertiary,no,2253.0,yes,no,unknown,18.0,jun,906.0,2.0,-1.0,0.0,unknown,no
49.0,,married,primary,no,1330.0,no,yes,unknown,18.0,jun,,1.0,-1.0,0.0,,no
42.0,services,married,secondary,no,0.0,no,no,unknown,18.0,jun,118.0,6.0,-1.0,0.0,unknown,no
42.0,unknown,single,tertiary,no,2918.0,,no,unknown,18.0,jun,18.0,,-1.0,,unknown,no
,housemaid,married,primary,,1093.0,no,yes,unknown,18.0,jun,18.0,1.0,-1.0,0.0,unknown,no
54.0,housemaid,married,primary,no,3151.0,no,no,unknown,18.0,jun,350.0,7.0,-1.0,0.0,unknown,no
39.0,admin.,married,secondary,no,224.0,no,no,unknown,,jun,421.0,2.0,-1.0,0.0,unknown,no
51.0,retired,married,primary,no,67.0,no,no,unknown,18.0,jun,835.0,1.0,-1.0,0.0,unknown,yes
60.0,retired,married,primary,no,0.0,no,no,unknown,18.0,jun,104.0,1.0,,0.0,unknown,no
29.0,,married,secondary,no,-565.0,yes,no,,18.0,jun,164.0,3.0,-1.0,0.0,unknown,no
38.0,services,married,secondary,no,,no,,unknown,18.0,jun,89.0,5.0,-1.0,0.0,unknown,no
39.0,self-employed,,tertiary,no,426.0,no,no,unknown,18.0,jun,1029.0,1.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,tertiary,no,9.0,yes,no,unknown,18.0,jun,112.0,3.0,-1.0,0.0,unknown,no
55.0,blue-collar,married,primary,no,1101.0,no,no,unknown,18.0,jun,744.0,3.0,-1.0,0.0,unknown,no
36.0,unemployed,divorced,secondary,no,8267.0,no,no,unknown,18.0,jun,321.0,2.0,-1.0,,unknown,no
37.0,management,married,tertiary,no,223.0,no,no,unknown,18.0,jun,24.0,10.0,-1.0,0.0,unknown,no
48.0,admin.,married,secondary,,1096.0,yes,no,unknown,,jun,213.0,5.0,-1.0,0.0,unknown,no
37.0,blue-collar,married,primary,no,704.0,no,no,,,jun,165.0,7.0,-1.0,,unknown,no
51.0,management,married,primary,no,192.0,no,no,unknown,,jun,129.0,3.0,-1.0,0.0,unknown,no
51.0,services,divorced,secondary,no,9.0,no,no,unknown,,jun,371.0,,-1.0,0.0,unknown,yes
36.0,blue-collar,,,no,1707.0,no,no,unknown,18.0,,190.0,,-1.0,0.0,unknown,no
27.0,entrepreneur,married,secondary,no,47.0,yes,no,unknown,18.0,jun,114.0,4.0,-1.0,0.0,unknown,no
36.0,unknown,married,,no,1370.0,no,no,unknown,18.0,jun,221.0,5.0,-1.0,0.0,unknown,no
33.0,management,,tertiary,,729.0,,yes,unknown,18.0,jun,178.0,5.0,-1.0,0.0,unknown,no
58.0,unemployed,divorced,secondary,,7798.0,no,no,,18.0,jun,247.0,5.0,-1.0,0.0,unknown,no
27.0,,single,secondary,no,629.0,yes,,unknown,18.0,jun,680.0,2.0,-1.0,0.0,,no
56.0,blue-collar,married,secondary,no,3760.0,no,no,unknown,18.0,jun,243.0,3.0,-1.0,0.0,unknown,no
42.0,,divorced,secondary,no,0.0,yes,yes,unknown,18.0,jun,185.0,4.0,-1.0,0.0,unknown,no
32.0,services,married,secondary,no,201.0,yes,no,unknown,18.0,jun,110.0,2.0,-1.0,0.0,unknown,no
26.0,admin.,married,,no,416.0,yes,yes,unknown,18.0,jun,172.0,2.0,-1.0,0.0,unknown,no
25.0,services,single,unknown,no,,yes,yes,unknown,,jun,156.0,3.0,-1.0,0.0,unknown,no
39.0,blue-collar,married,secondary,no,39.0,yes,no,unknown,18.0,jun,34.0,,-1.0,0.0,unknown,no
42.0,blue-collar,single,secondary,no,,yes,no,unknown,18.0,jun,347.0,4.0,-1.0,,unknown,no
37.0,blue-collar,married,secondary,no,10721.0,yes,no,unknown,18.0,jun,394.0,3.0,-1.0,0.0,unknown,no
28.0,blue-collar,single,secondary,no,975.0,yes,no,unknown,18.0,jun,,3.0,-1.0,0.0,unknown,no
29.0,management,married,tertiary,no,620.0,yes,no,unknown,18.0,jun,72.0,3.0,-1.0,,unknown,no
,admin.,,secondary,no,311.0,yes,yes,unknown,18.0,jun,417.0,3.0,-1.0,0.0,unknown,no
48.0,,single,tertiary,no,0.0,no,no,unknown,18.0,jun,96.0,3.0,-1.0,0.0,unknown,no
27.0,admin.,married,secondary,no,-97.0,yes,no,unknown,18.0,jun,1528.0,2.0,-1.0,0.0,unknown,yes
24.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,18.0,jun,154.0,4.0,-1.0,0.0,unknown,no
48.0,admin.,single,secondary,no,479.0,yes,yes,unknown,18.0,,,3.0,-1.0,0.0,unknown,no
46.0,management,single,,no,46.0,,yes,unknown,18.0,jun,107.0,1.0,,0.0,unknown,no
49.0,technician,,secondary,no,1202.0,yes,no,unknown,18.0,,122.0,1.0,-1.0,0.0,unknown,no
48.0,blue-collar,married,primary,no,363.0,yes,no,unknown,18.0,jun,257.0,6.0,-1.0,0.0,unknown,no
44.0,blue-collar,married,secondary,no,1147.0,yes,no,unknown,18.0,jun,,3.0,-1.0,0.0,unknown,no
61.0,entrepreneur,divorced,secondary,no,369.0,no,no,unknown,18.0,jun,82.0,1.0,-1.0,0.0,unknown,no
58.0,unknown,married,,no,219.0,no,no,unknown,18.0,,55.0,1.0,-1.0,0.0,unknown,no
43.0,services,divorced,,no,62.0,no,no,unknown,18.0,jun,67.0,1.0,-1.0,0.0,unknown,no
45.0,,married,tertiary,no,143.0,no,no,unknown,18.0,jun,83.0,1.0,-1.0,0.0,,no
43.0,admin.,married,,no,3485.0,,no,unknown,,,113.0,1.0,-1.0,0.0,unknown,no
58.0,retired,divorced,primary,no,97.0,no,no,unknown,18.0,jun,59.0,1.0,-1.0,0.0,unknown,no
50.0,housemaid,married,secondary,no,0.0,no,no,unknown,18.0,jun,551.0,1.0,-1.0,0.0,unknown,no
43.0,management,married,tertiary,no,657.0,no,no,unknown,18.0,jun,367.0,1.0,-1.0,0.0,unknown,no
59.0,management,divorced,tertiary,no,1304.0,no,no,unknown,18.0,jun,220.0,1.0,-1.0,0.0,unknown,no
56.0,entrepreneur,single,unknown,no,2351.0,,no,unknown,18.0,jun,15.0,1.0,-1.0,0.0,unknown,no
60.0,retired,married,secondary,no,1524.0,no,no,unknown,18.0,jun,173.0,1.0,-1.0,0.0,unknown,no
58.0,housemaid,married,primary,no,0.0,no,no,unknown,18.0,jun,37.0,1.0,-1.0,0.0,unknown,no
57.0,blue-collar,married,secondary,no,773.0,yes,yes,unknown,18.0,jun,97.0,8.0,-1.0,0.0,unknown,no
,housemaid,married,secondary,no,197.0,no,no,unknown,18.0,jun,199.0,1.0,-1.0,0.0,unknown,no
36.0,,married,secondary,no,2627.0,yes,no,unknown,18.0,jun,94.0,1.0,-1.0,0.0,unknown,no
35.0,admin.,married,secondary,no,165.0,yes,no,unknown,18.0,jun,,1.0,-1.0,0.0,unknown,no
37.0,blue-collar,divorced,secondary,yes,-689.0,no,no,unknown,18.0,jun,15.0,1.0,-1.0,0.0,unknown,no
40.0,technician,married,tertiary,no,397.0,no,no,unknown,,jun,50.0,1.0,-1.0,0.0,unknown,no
37.0,management,married,tertiary,no,11265.0,no,no,unknown,18.0,jun,417.0,1.0,-1.0,0.0,unknown,no
55.0,,married,secondary,no,5836.0,no,no,unknown,18.0,jun,192.0,1.0,-1.0,0.0,unknown,no
,management,single,tertiary,no,391.0,no,no,unknown,18.0,jun,443.0,,-1.0,0.0,unknown,no
37.0,student,married,unknown,no,0.0,no,no,unknown,18.0,jun,115.0,,-1.0,0.0,unknown,no
45.0,unknown,single,secondary,no,0.0,no,no,unknown,18.0,jun,1487.0,1.0,-1.0,0.0,,no
49.0,blue-collar,married,secondary,no,1743.0,no,no,unknown,18.0,jun,68.0,1.0,-1.0,0.0,unknown,no
28.0,technician,divorced,tertiary,no,594.0,yes,yes,unknown,18.0,jun,54.0,3.0,-1.0,0.0,unknown,no
60.0,retired,divorced,primary,no,1582.0,no,yes,unknown,18.0,jun,159.0,1.0,-1.0,0.0,unknown,no
,blue-collar,married,primary,no,2791.0,no,no,unknown,18.0,jun,335.0,1.0,-1.0,0.0,,no
49.0,technician,married,secondary,no,997.0,no,,unknown,,jun,118.0,1.0,-1.0,0.0,unknown,no
39.0,entrepreneur,married,tertiary,no,2310.0,yes,yes,unknown,18.0,jun,104.0,1.0,-1.0,0.0,unknown,no
37.0,,married,,yes,,no,no,unknown,18.0,jun,236.0,,-1.0,0.0,unknown,no
49.0,management,married,unknown,,,no,no,unknown,18.0,jun,300.0,1.0,-1.0,0.0,unknown,no
54.0,housemaid,married,primary,no,5048.0,no,no,unknown,18.0,,163.0,1.0,-1.0,0.0,unknown,no
48.0,management,married,tertiary,yes,0.0,no,yes,unknown,,jun,103.0,1.0,-1.0,0.0,unknown,no
37.0,management,divorced,secondary,no,0.0,yes,no,,18.0,,187.0,1.0,-1.0,0.0,unknown,no
,management,single,tertiary,no,11008.0,no,no,unknown,18.0,jun,1540.0,1.0,-1.0,0.0,,yes
49.0,retired,single,unknown,no,332.0,no,no,unknown,18.0,jun,163.0,2.0,-1.0,0.0,unknown,no
46.0,,married,secondary,no,179.0,no,yes,unknown,18.0,jun,129.0,1.0,-1.0,0.0,unknown,no
55.0,blue-collar,married,primary,no,761.0,no,no,unknown,18.0,jun,67.0,,-1.0,0.0,unknown,no
38.0,blue-collar,divorced,secondary,,889.0,no,,unknown,18.0,jun,362.0,1.0,-1.0,0.0,unknown,no
42.0,,single,primary,no,4930.0,no,no,unknown,,jun,973.0,1.0,,0.0,unknown,yes
42.0,technician,married,,no,-813.0,yes,no,unknown,18.0,jun,36.0,4.0,-1.0,0.0,unknown,no
37.0,self-employed,,tertiary,no,2087.0,no,no,unknown,18.0,jun,167.0,1.0,-1.0,0.0,unknown,no
60.0,,married,primary,no,0.0,no,no,,18.0,jun,138.0,1.0,-1.0,0.0,unknown,no
59.0,retired,married,primary,,0.0,no,no,unknown,18.0,jun,1009.0,1.0,-1.0,0.0,unknown,no
47.0,,married,primary,no,490.0,,no,unknown,18.0,jun,55.0,10.0,-1.0,0.0,unknown,no
48.0,retired,married,primary,no,5173.0,yes,no,unknown,18.0,jun,88.0,8.0,-1.0,0.0,unknown,no
,management,married,primary,no,5348.0,no,,unknown,18.0,jun,105.0,1.0,-1.0,0.0,unknown,no
37.0,technician,married,secondary,no,603.0,no,no,unknown,18.0,jun,339.0,2.0,-1.0,0.0,unknown,no
,services,single,secondary,no,755.0,no,no,,18.0,jun,355.0,1.0,-1.0,0.0,unknown,no
47.0,services,divorced,secondary,no,829.0,no,yes,unknown,18.0,jun,466.0,2.0,,0.0,unknown,no
37.0,self-employed,married,secondary,no,2235.0,no,no,unknown,18.0,jun,94.0,1.0,-1.0,,unknown,no
60.0,retired,married,primary,no,3.0,no,no,unknown,18.0,jun,227.0,1.0,-1.0,0.0,unknown,no
38.0,student,single,unknown,no,722.0,no,no,unknown,18.0,jun,65.0,1.0,-1.0,0.0,,no
47.0,management,married,tertiary,no,414.0,no,no,unknown,18.0,jun,387.0,1.0,-1.0,0.0,unknown,no
56.0,retired,divorced,secondary,no,389.0,,no,unknown,18.0,,379.0,5.0,-1.0,0.0,unknown,no
51.0,unknown,married,unknown,no,167.0,no,no,unknown,18.0,jun,205.0,4.0,,0.0,unknown,no
37.0,services,married,unknown,no,-224.0,no,no,unknown,,jun,332.0,2.0,-1.0,0.0,unknown,no
48.0,blue-collar,single,primary,no,0.0,no,no,unknown,18.0,,71.0,1.0,-1.0,0.0,unknown,no
39.0,services,married,tertiary,no,6497.0,no,no,unknown,18.0,jun,567.0,1.0,-1.0,0.0,unknown,no
44.0,blue-collar,married,secondary,no,1025.0,yes,no,unknown,18.0,jun,200.0,1.0,-1.0,0.0,,no
35.0,blue-collar,married,unknown,no,1201.0,no,no,unknown,18.0,jun,537.0,1.0,-1.0,0.0,unknown,yes
44.0,management,married,tertiary,no,17361.0,no,,unknown,,jun,476.0,1.0,,0.0,unknown,no
58.0,housemaid,divorced,primary,no,0.0,no,no,unknown,18.0,jun,290.0,2.0,-1.0,0.0,unknown,no
56.0,services,married,unknown,no,616.0,no,no,unknown,,jun,,1.0,-1.0,,unknown,no
45.0,management,divorced,tertiary,no,959.0,no,no,unknown,,jun,74.0,1.0,-1.0,0.0,unknown,no
,admin.,married,secondary,no,1019.0,yes,no,unknown,18.0,,76.0,1.0,-1.0,0.0,unknown,no
,management,married,tertiary,no,1172.0,no,no,unknown,18.0,jun,26.0,1.0,-1.0,0.0,unknown,no
59.0,retired,,secondary,no,,no,no,unknown,18.0,,632.0,1.0,-1.0,0.0,unknown,no
58.0,management,,tertiary,no,3768.0,yes,no,unknown,18.0,jun,316.0,1.0,-1.0,0.0,unknown,no
58.0,housemaid,married,primary,no,1274.0,no,no,unknown,18.0,jun,35.0,7.0,-1.0,0.0,unknown,no
46.0,blue-collar,divorced,primary,no,2870.0,no,no,unknown,18.0,jun,52.0,,-1.0,0.0,unknown,no
50.0,services,,secondary,no,753.0,no,no,unknown,18.0,jun,59.0,2.0,-1.0,0.0,unknown,no
52.0,retired,married,primary,no,9.0,no,no,unknown,18.0,jun,243.0,1.0,-1.0,,unknown,no
44.0,management,married,tertiary,no,2283.0,,yes,unknown,18.0,jun,81.0,,-1.0,0.0,unknown,no
59.0,retired,,primary,no,1245.0,no,no,unknown,18.0,jun,205.0,2.0,-1.0,0.0,unknown,no
54.0,housemaid,divorced,primary,no,1194.0,no,,unknown,18.0,jun,58.0,3.0,-1.0,0.0,unknown,no
39.0,blue-collar,married,primary,no,-186.0,no,yes,unknown,18.0,jun,320.0,3.0,-1.0,0.0,unknown,no
48.0,admin.,married,secondary,no,17957.0,no,no,unknown,,jun,700.0,7.0,-1.0,0.0,unknown,no
48.0,self-employed,single,unknown,no,,no,no,unknown,18.0,jun,453.0,1.0,-1.0,0.0,unknown,no
44.0,,married,secondary,no,1872.0,yes,no,unknown,18.0,jun,146.0,3.0,-1.0,0.0,unknown,no
,entrepreneur,married,tertiary,no,773.0,no,no,unknown,18.0,jun,345.0,1.0,-1.0,0.0,unknown,no
32.0,management,single,tertiary,no,7419.0,yes,no,unknown,18.0,jun,248.0,29.0,-1.0,0.0,unknown,no
53.0,blue-collar,divorced,secondary,no,517.0,yes,,unknown,18.0,jun,188.0,2.0,-1.0,0.0,unknown,no
36.0,admin.,married,secondary,no,90.0,no,no,unknown,,jun,166.0,3.0,-1.0,0.0,unknown,no
55.0,management,married,secondary,no,0.0,no,no,,18.0,jun,324.0,2.0,-1.0,0.0,unknown,no
44.0,blue-collar,single,unknown,no,4330.0,no,no,unknown,18.0,jun,16.0,9.0,-1.0,0.0,unknown,no
51.0,entrepreneur,single,secondary,no,440.0,no,no,unknown,18.0,jun,392.0,1.0,-1.0,0.0,unknown,no
,admin.,married,secondary,no,1800.0,yes,no,unknown,18.0,jun,103.0,1.0,-1.0,0.0,unknown,no
56.0,blue-collar,divorced,secondary,no,486.0,yes,no,unknown,18.0,jun,577.0,4.0,,0.0,unknown,no
47.0,blue-collar,single,unknown,no,2443.0,no,no,unknown,18.0,jun,,1.0,-1.0,0.0,unknown,no
53.0,self-employed,married,tertiary,no,235.0,no,no,,18.0,jun,112.0,3.0,,0.0,unknown,no
47.0,unemployed,married,primary,no,,no,no,unknown,18.0,jun,308.0,1.0,-1.0,,unknown,no
52.0,management,married,,no,1147.0,no,no,unknown,18.0,jun,43.0,,-1.0,,unknown,no
44.0,,married,secondary,no,-448.0,yes,no,unknown,18.0,jun,,2.0,-1.0,0.0,unknown,no
60.0,retired,married,tertiary,no,1336.0,no,no,unknown,18.0,jun,324.0,1.0,-1.0,0.0,unknown,no
59.0,,married,unknown,no,337.0,no,no,unknown,18.0,jun,100.0,4.0,-1.0,0.0,unknown,no
35.0,admin.,married,secondary,no,,no,,unknown,18.0,jun,209.0,12.0,-1.0,0.0,unknown,no
37.0,services,married,,no,2128.0,,no,unknown,18.0,jun,105.0,1.0,-1.0,0.0,unknown,no
41.0,entrepreneur,married,secondary,no,707.0,no,no,unknown,18.0,jun,707.0,1.0,-1.0,0.0,unknown,yes
33.0,,married,secondary,no,4.0,yes,yes,unknown,18.0,jun,625.0,2.0,-1.0,0.0,unknown,yes
47.0,technician,married,secondary,no,3478.0,no,no,unknown,18.0,jun,13.0,11.0,-1.0,0.0,unknown,no
46.0,admin.,married,secondary,no,126.0,no,no,unknown,18.0,jun,1255.0,1.0,-1.0,0.0,unknown,yes
50.0,management,married,tertiary,no,3296.0,no,no,unknown,18.0,jun,255.0,2.0,-1.0,0.0,unknown,no
45.0,services,single,secondary,no,1771.0,no,no,unknown,18.0,jun,50.0,2.0,-1.0,0.0,unknown,no
,services,divorced,,no,,yes,no,,18.0,,373.0,4.0,-1.0,0.0,,no
50.0,unknown,married,unknown,no,200.0,no,no,unknown,18.0,jun,18.0,6.0,-1.0,0.0,,no
43.0,housemaid,married,secondary,no,5233.0,no,,,18.0,,108.0,2.0,-1.0,0.0,unknown,no
54.0,blue-collar,,primary,,45.0,yes,no,unknown,18.0,jun,142.0,20.0,-1.0,0.0,unknown,no
38.0,technician,single,tertiary,no,11.0,no,no,unknown,18.0,jun,78.0,3.0,-1.0,0.0,unknown,no
59.0,retired,divorced,primary,no,681.0,,yes,unknown,18.0,jun,376.0,7.0,-1.0,0.0,,no
37.0,housemaid,divorced,secondary,no,37.0,no,no,unknown,18.0,jun,155.0,2.0,-1.0,0.0,unknown,no
51.0,technician,married,secondary,no,,no,,unknown,18.0,jun,56.0,1.0,-1.0,,unknown,no
,management,married,tertiary,no,2729.0,no,no,unknown,18.0,jun,188.0,1.0,-1.0,0.0,unknown,no
